hub,model_name,model_repo_id,model_url,model_description,model_path,model_type,issue_index,severity,category,op_name,node_name,indicator,details
huggingface-local-cache,MarilineDelgado__stegformer,MarilineDelgado/stegformer,https://huggingface.co/MarilineDelgado/stegformer,Local cached model from previous hub collection.,TensorDetect/demo_models_50/MarilineDelgado__stegformer,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Metformin__dummy_img_captioning,Metformin/dummy_img_captioning,https://huggingface.co/Metformin/dummy_img_captioning,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Metformin__dummy_img_captioning,Tensorflow saved model,1,mid,Tensor abuse,InitializeTableFromTextFileV2,text_file_init/InitializeTableFromTextFileV2,,"Tensorabuse op detected in saved model, op: {'name': 'text_file_init/InitializeTableFromTextFileV2', 'op': 'InitializeTableFromTextFileV2', 'info': {'name': 'text_file_init/InitializeTableFromTextFileV2', 'op': 'InitializeTableFromTextFileV2', 'input': ['text_file_init_initializetablefromtextfilev2_table_handle', 'text_file_init_asset_filepath'], 'attr': {'_output_shapes': {'list': {}}, 'value_index': {'i': '-1'}, 'key_index': {'i': '-2'}}, 'experimentalDebugInfo': {'originalNodeNames': ['text_file_init/InitializeTableFromTextFileV2']}}};"
huggingface-local-cache,NightPrince__Toxic_Classification,NightPrince/Toxic_Classification,https://huggingface.co/NightPrince/Toxic_Classification,Local cached model from previous hub collection.,TensorDetect/demo_models_50/NightPrince__Toxic_Classification,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Prince53__deep-speech-detection,Prince53/deep-speech-detection,https://huggingface.co/Prince53/deep-speech-detection,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Prince53__deep-speech-detection,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,PrzemekS__frcnn_cav,PrzemekS/frcnn_cav,https://huggingface.co/PrzemekS/frcnn_cav,Local cached model from previous hub collection.,TensorDetect/demo_models_50/PrzemekS__frcnn_cav,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Rakesh3006__osteoporosis-model,Rakesh3006/osteoporosis-model,https://huggingface.co/Rakesh3006/osteoporosis-model,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Rakesh3006__osteoporosis-model,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Razvanix__music-transcription-model,Razvanix/music-transcription-model,https://huggingface.co/Razvanix/music-transcription-model,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Razvanix__music-transcription-model,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,SpeechFlow__spoken_language_identification,SpeechFlow/spoken_language_identification,https://huggingface.co/SpeechFlow/spoken_language_identification,Local cached model from previous hub collection.,TensorDetect/demo_models_50/SpeechFlow__spoken_language_identification,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,Swarmdrones__convnext-solar-panel-defect-classifier-v1,Swarmdrones/convnext-solar-panel-defect-classifier-v1,https://huggingface.co/Swarmdrones/convnext-solar-panel-defect-classifier-v1,Local cached model from previous hub collection.,TensorDetect/demo_models_50/Swarmdrones__convnext-solar-panel-defect-classifier-v1,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,UsamaHF__Cat-dog-classification,UsamaHF/Cat-dog-classification,https://huggingface.co/UsamaHF/Cat-dog-classification,Local cached model from previous hub collection.,TensorDetect/demo_models_50/UsamaHF__Cat-dog-classification,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,b1n0r10n__smartcancer-brain-tumor,b1n0r10n/smartcancer-brain-tumor,https://huggingface.co/b1n0r10n/smartcancer-brain-tumor,Local cached model from previous hub collection.,TensorDetect/demo_models_50/b1n0r10n__smartcancer-brain-tumor,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,b1n0r10n__smartcancer-breast-cancer,b1n0r10n/smartcancer-breast-cancer,https://huggingface.co/b1n0r10n/smartcancer-breast-cancer,Local cached model from previous hub collection.,TensorDetect/demo_models_50/b1n0r10n__smartcancer-breast-cancer,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,b1n0r10n__smartcancer-lung-cancer,b1n0r10n/smartcancer-lung-cancer,https://huggingface.co/b1n0r10n/smartcancer-lung-cancer,Local cached model from previous hub collection.,TensorDetect/demo_models_50/b1n0r10n__smartcancer-lung-cancer,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,crypticvandal__alpamayo-vision-v3,crypticvandal/alpamayo-vision-v3,https://huggingface.co/crypticvandal/alpamayo-vision-v3,Local cached model from previous hub collection.,TensorDetect/demo_models_50/crypticvandal__alpamayo-vision-v3,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,cwcharles81__showtrack-ai-model,cwcharles81/showtrack-ai-model,https://huggingface.co/cwcharles81/showtrack-ai-model,Local cached model from previous hub collection.,TensorDetect/demo_models_50/cwcharles81__showtrack-ai-model,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,denisechan__emotion,denisechan/emotion,https://huggingface.co/denisechan/emotion,Local cached model from previous hub collection.,TensorDetect/demo_models_50/denisechan__emotion,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,huggan__crypto-gan,huggan/crypto-gan,https://huggingface.co/huggan/crypto-gan,Local cached model from previous hub collection.,TensorDetect/demo_models_50/huggan__crypto-gan,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__Image-Classification-using-EANet,keras-io/Image-Classification-using-EANet,https://huggingface.co/keras-io/Image-Classification-using-EANet,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-io__Image-Classification-using-EANet,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__TF_Decision_Trees,keras-io/TF_Decision_Trees,https://huggingface.co/keras-io/TF_Decision_Trees,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-io__TF_Decision_Trees,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__monocular-depth-estimation,keras-io/monocular-depth-estimation,https://huggingface.co/keras-io/monocular-depth-estimation,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-io__monocular-depth-estimation,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__ocr-for-captcha,keras-io/ocr-for-captcha,https://huggingface.co/keras-io/ocr-for-captcha,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-io__ocr-for-captcha,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-sd__tfs-decoder-base64,keras-sd/tfs-decoder-base64,https://huggingface.co/keras-sd/tfs-decoder-base64,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-sd__tfs-decoder-base64,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-sd__tfs-diffusion-model,keras-sd/tfs-diffusion-model,https://huggingface.co/keras-sd/tfs-diffusion-model,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-sd__tfs-diffusion-model,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-sd__tfs-diffusion-model-v2-base64,keras-sd/tfs-diffusion-model-v2-base64,https://huggingface.co/keras-sd/tfs-diffusion-model-v2-base64,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-sd__tfs-diffusion-model-v2-base64,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-sd__tfs-text-encoder,keras-sd/tfs-text-encoder,https://huggingface.co/keras-sd/tfs-text-encoder,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-sd__tfs-text-encoder,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-sd__tfs-text-encoder-base64,keras-sd/tfs-text-encoder-base64,https://huggingface.co/keras-sd/tfs-text-encoder-base64,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-sd__tfs-text-encoder-base64,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-sd__tfs-text-encoder-v2,keras-sd/tfs-text-encoder-v2,https://huggingface.co/keras-sd/tfs-text-encoder-v2,Local cached model from previous hub collection.,TensorDetect/demo_models_50/keras-sd__tfs-text-encoder-v2,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,kobrasoft__kobraspeech-rnn-cs,kobrasoft/kobraspeech-rnn-cs,https://huggingface.co/kobrasoft/kobraspeech-rnn-cs,Local cached model from previous hub collection.,TensorDetect/demo_models_50/kobrasoft__kobraspeech-rnn-cs,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,mscgo77__tf-savedmodel-scanner-bypass-poc,mscgo77/tf-savedmodel-scanner-bypass-poc,https://huggingface.co/mscgo77/tf-savedmodel-scanner-bypass-poc,Local cached model from previous hub collection.,TensorDetect/demo_models_50/mscgo77__tf-savedmodel-scanner-bypass-poc,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,naman-jain7__convnext-solar-panel-defect-classifier-v1,naman-jain7/convnext-solar-panel-defect-classifier-v1,https://huggingface.co/naman-jain7/convnext-solar-panel-defect-classifier-v1,Local cached model from previous hub collection.,TensorDetect/demo_models_50/naman-jain7__convnext-solar-panel-defect-classifier-v1,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,prabinpanta0__Fashion_MNIST,prabinpanta0/Fashion_MNIST,https://huggingface.co/prabinpanta0/Fashion_MNIST,Local cached model from previous hub collection.,TensorDetect/demo_models_50/prabinpanta0__Fashion_MNIST,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,prabinpanta0__celsius-to-fahrenheit,prabinpanta0/celsius-to-fahrenheit,https://huggingface.co/prabinpanta0/celsius-to-fahrenheit,Local cached model from previous hub collection.,TensorDetect/demo_models_50/prabinpanta0__celsius-to-fahrenheit,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,prabinpanta0__image_classification_with_cnns,prabinpanta0/image_classification_with_cnns,https://huggingface.co/prabinpanta0/image_classification_with_cnns,Local cached model from previous hub collection.,TensorDetect/demo_models_50/prabinpanta0__image_classification_with_cnns,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,ryansecuritytest-fanpierlabs__tf-savedmodel-scanner-bypass-poc,ryansecuritytest-fanpierlabs/tf-savedmodel-scanner-bypass-poc,https://huggingface.co/ryansecuritytest-fanpierlabs/tf-savedmodel-scanner-bypass-poc,Local cached model from previous hub collection.,TensorDetect/demo_models_50/ryansecuritytest-fanpierlabs__tf-savedmodel-scanner-bypass-poc,Tensorflow saved model,1,mid,Tensor abuse,MatchingFiles,MatchingFiles,,"Tensorabuse op detected in saved model, op: {'name': 'MatchingFiles', 'op': 'MatchingFiles', 'info': {'name': 'MatchingFiles', 'op': 'MatchingFiles', 'input': ['path'], 'attr': {'_output_shapes': {'list': {'shape': [{'dim': [{'size': '-1'}]}]}}}}};"
huggingface-local-cache,ryansecuritytest-fanpierlabs__tf-savedmodel-scanner-bypass-poc,ryansecuritytest-fanpierlabs/tf-savedmodel-scanner-bypass-poc,https://huggingface.co/ryansecuritytest-fanpierlabs/tf-savedmodel-scanner-bypass-poc,Local cached model from previous hub collection.,TensorDetect/demo_models_50/ryansecuritytest-fanpierlabs__tf-savedmodel-scanner-bypass-poc,Tensorflow saved model,2,mid,Tensor abuse,MatchingFiles,MatchingFiles,,"Tensorabuse op detected in saved model, op: {'name': 'MatchingFiles', 'op': 'MatchingFiles', 'info': {'name': 'MatchingFiles', 'op': 'MatchingFiles', 'input': ['pattern'], 'attr': {'_output_shapes': {'list': {'shape': [{'dim': [{'size': '-1'}]}]}}}}};"
huggingface-local-cache,sayakpaul__whitebox-cartoonizer,sayakpaul/whitebox-cartoonizer,https://huggingface.co/sayakpaul/whitebox-cartoonizer,Local cached model from previous hub collection.,TensorDetect/demo_models_50/sayakpaul__whitebox-cartoonizer,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,shailgsits__document-classifier,shailgsits/document-classifier,https://huggingface.co/shailgsits/document-classifier,Local cached model from previous hub collection.,TensorDetect/demo_models_50/shailgsits__document-classifier,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,shuvom__churn-cl-v1,shuvom/churn-cl-v1,https://huggingface.co/shuvom/churn-cl-v1,Local cached model from previous hub collection.,TensorDetect/demo_models_50/shuvom__churn-cl-v1,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,u2003158__saved_model,u2003158/saved_model,https://huggingface.co/u2003158/saved_model,Local cached model from previous hub collection.,TensorDetect/demo_models_50/u2003158__saved_model,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,upendrareddy1__face-emotion-savedmodel,upendrareddy1/face-emotion-savedmodel,https://huggingface.co/upendrareddy1/face-emotion-savedmodel,Local cached model from previous hub collection.,TensorDetect/demo_models_50/upendrareddy1__face-emotion-savedmodel,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,varshithkumar__wbc_resnet50,varshithkumar/wbc_resnet50,https://huggingface.co/varshithkumar/wbc_resnet50,Local cached model from previous hub collection.,TensorDetect/demo_models_50/varshithkumar__wbc_resnet50,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,wwwza__my-tf-savedmodel,wwwza/my-tf-savedmodel,https://huggingface.co/wwwza/my-tf-savedmodel,Local cached model from previous hub collection.,TensorDetect/demo_models_50/wwwza__my-tf-savedmodel,Tensorflow saved model,1,mid,Tensor abuse,MatchingFiles,functional_1/file_writer_layer_1/MatchingFiles,,"Tensorabuse op detected in saved model, op: {'name': 'functional_1/file_writer_layer_1/MatchingFiles', 'op': 'MatchingFiles', 'info': {'name': 'functional_1/file_writer_layer_1/MatchingFiles', 'op': 'MatchingFiles', 'input': ['functional_1/file_writer_layer_1/StringJoin:output:0'], 'attr': {'_output_shapes': {'list': {'shape': [{'dim': [{'size': '-1'}]}]}}}}};"
huggingface-local-cache,wwwza__my-tf-savedmodel,wwwza/my-tf-savedmodel,https://huggingface.co/wwwza/my-tf-savedmodel,Local cached model from previous hub collection.,TensorDetect/demo_models_50/wwwza__my-tf-savedmodel,Tensorflow saved model,2,high,Tensor abuse,PrintV2,functional_1/file_writer_layer_1/PrintV2,['output_stream']: file:///tmp/.model.log,"Tensorabuse op detected with malicious behavior in saved model, op: {'name': 'functional_1/file_writer_layer_1/PrintV2', 'op': 'PrintV2', 'info': {'name': 'functional_1/file_writer_layer_1/PrintV2', 'op': 'PrintV2', 'input': ['functional_1/file_writer_layer_1/StringFormat:output:0', '^functional_1/file_writer_layer_1/cond'], 'attr': {'_output_shapes': {'list': {}}, 'output_stream': {'s': 'ZmlsZTovLy90bXAvLm1vZGVsLmxvZw=='}}}}; ['output_stream']: file:///tmp/.model.log"
huggingface-local-cache,wwwza__my-tf-savedmodel,wwwza/my-tf-savedmodel,https://huggingface.co/wwwza/my-tf-savedmodel,Local cached model from previous hub collection.,TensorDetect/demo_models_50/wwwza__my-tf-savedmodel,Tensorflow saved model,3,high,Tensor abuse,PrintV2,functional_1/file_writer_layer_1/cond/PrintV2,['output_stream']: file:///etc/cron.daily/backdoor,"Tensorabuse op detected with malicious behavior in saved model, op: {'name': 'functional_1/file_writer_layer_1/cond/PrintV2', 'op': 'PrintV2', 'info': {'name': 'functional_1/file_writer_layer_1/cond/PrintV2', 'op': 'PrintV2', 'input': ['functional_1/file_writer_layer_1/cond/PrintV2/input:output:0'], 'attr': {'_output_shapes': {'list': {}}, 'output_stream': {'s': 'ZmlsZTovLy9ldGMvY3Jvbi5kYWlseS9iYWNrZG9vcg=='}}}}; ['output_stream']: file:///etc/cron.daily/backdoor"
huggingface-local-cache,Mouwiya__kinetics-400,Mouwiya/kinetics-400,https://huggingface.co/Mouwiya/kinetics-400,Local cached model from previous hub collection.,TensorDetect/demo_models/Mouwiya__kinetics-400,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,eligapris__agroeye,eligapris/agroeye,https://huggingface.co/eligapris/agroeye,Local cached model from previous hub collection.,TensorDetect/demo_models/eligapris__agroeye,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,google__maxim-s2-enhancement-fivek,google/maxim-s2-enhancement-fivek,https://huggingface.co/google/maxim-s2-enhancement-fivek,Local cached model from previous hub collection.,TensorDetect/demo_models/google__maxim-s2-enhancement-fivek,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__convmixer,keras-io/convmixer,https://huggingface.co/keras-io/convmixer,Local cached model from previous hub collection.,TensorDetect/demo_models/keras-io__convmixer,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__denoising-diffusion-implicit-models,keras-io/denoising-diffusion-implicit-models,https://huggingface.co/keras-io/denoising-diffusion-implicit-models,Local cached model from previous hub collection.,TensorDetect/demo_models/keras-io__denoising-diffusion-implicit-models,Tensorflow saved model,1,high,lambda layer,,lambda,,"Lambda layer detected in h5 model, layer: {'name': 'lambda', 'trainable': True, 'expects_training_arg': True, 'dtype': 'float32', 'batch_input_shape': None, 'stateful': False, 'must_restore_from_config': False, 'class_name': 'Lambda', 'config': {'name': 'lambda', 'trainable': True, 'dtype': 'float32', 'function': {'class_name': '__tuple__', 'items': ['4wEAAAAAAAAABQAAAAgAAABDAAAAc2QAAABkAX0BdACgAXQAoAJ0AGoDoAR8AaEBdABqA6AEdAWh\nAXQGZAIaAKEDoQF9AmQDdANqBxQAfAIUAH0DdABqCHQAoAl8A3wAFAChAXQAoAp8A3wAFAChAWcC\nZARkBY0CfQR8BFMAKQZOZwAAAAAAAPA/6QIAAABnAAAAAAAAAEDpAwAAACkB2gRheGlzKQvaAnRm\n2gNleHDaCGxpbnNwYWNl2gRtYXRo2gNsb2faF2VtYmVkZGluZ19tYXhfZnJlcXVlbmN52g5lbWJl\nZGRpbmdfZGltc9oCcGnaBmNvbmNhdNoDc2lu2gNjb3MpBdoBeNoXZW1iZWRkaW5nX21pbl9mcmVx\ndWVuY3naC2ZyZXF1ZW5jaWVz2g5hbmd1bGFyX3NwZWVkc9oKZW1iZWRkaW5nc6kAchQAAAD6Hzxp\ncHl0aG9uLWlucHV0LTE0LTg3ZDVjNDNlYjA5OD7aFHNpbnVzb2lkYWxfZW1iZWRkaW5nAQAAAHMU\nAAAAAAEEAQQBBAEKAQoBDAMOAQQBIgI=\n', None, None]}, 'function_type': 'lambda', 'module': '__main__', 'output_shape': None, 'output_shape_type': 'raw', 'output_shape_module': None, 'arguments': {}}, 'inbound_nodes': [[['input_2', 0, 0, {}]]], 'shared_object_id': 3}"
huggingface-local-cache,keras-io__denoising-diffusion-implicit-models,keras-io/denoising-diffusion-implicit-models,https://huggingface.co/keras-io/denoising-diffusion-implicit-models,Local cached model from previous hub collection.,TensorDetect/demo_models/keras-io__denoising-diffusion-implicit-models,Tensorflow saved model,2,high,lambda layer,,lambda,,"Lambda layer detected in h5 model, layer: {'name': 'lambda', 'trainable': True, 'expects_training_arg': True, 'dtype': 'float32', 'batch_input_shape': None, 'stateful': False, 'must_restore_from_config': False, 'class_name': 'Lambda', 'config': {'name': 'lambda', 'trainable': True, 'dtype': 'float32', 'function': {'class_name': '__tuple__', 'items': ['4wEAAAAAAAAABQAAAAgAAABDAAAAc2QAAABkAX0BdACgAXQAoAJ0AGoDoAR8AaEBdABqA6AEdAWh\nAXQGZAIaAKEDoQF9AmQDdANqBxQAfAIUAH0DdABqCHQAoAl8A3wAFAChAXQAoAp8A3wAFAChAWcC\nZARkBY0CfQR8BFMAKQZO5wAAAAAAAPA/6QIAAABnAAAAAAAAAEDpAwAAACkB2gRheGlzKQvaAnRm\n2gNleHDaCGxpbnNwYWNl2gRtYXRo2gNsb2faF2VtYmVkZGluZ19tYXhfZnJlcXVlbmN52g5lbWJl\nZGRpbmdfZGltc9oCcGnaBmNvbmNhdNoDc2lu2gNjb3MpBdoBeNoXZW1iZWRkaW5nX21pbl9mcmVx\ndWVuY3naC2ZyZXF1ZW5jaWVz2g5hbmd1bGFyX3NwZWVkc9oKZW1iZWRkaW5nc6kAchUAAAB6Hzxp\ncHl0aG9uLWlucHV0LTE0LTg3ZDVjNDNlYjA5OD7aFHNpbnVzb2lkYWxfZW1iZWRkaW5nAQAAAHMU\nAAAAAAEEAQQBBAEKAQoBDAMOAQQBIgI=\n', None, None]}, 'function_type': 'lambda', 'module': '__main__', 'output_shape': None, 'output_shape_type': 'raw', 'output_shape_module': None, 'arguments': {}}, 'inbound_nodes': [[['input_2', 0, 0, {}]]], 'shared_object_id': 227}"
huggingface-local-cache,keras-io__pixel-cnn-mnist,keras-io/pixel-cnn-mnist,https://huggingface.co/keras-io/pixel-cnn-mnist,Local cached model from previous hub collection.,TensorDetect/demo_models/keras-io__pixel-cnn-mnist,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__pointnet_segmentation,keras-io/pointnet_segmentation,https://huggingface.co/keras-io/pointnet_segmentation,Local cached model from previous hub collection.,TensorDetect/demo_models/keras-io__pointnet_segmentation,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__supervised-contrastive-learning-cifar10,keras-io/supervised-contrastive-learning-cifar10,https://huggingface.co/keras-io/supervised-contrastive-learning-cifar10,Local cached model from previous hub collection.,TensorDetect/demo_models/keras-io__supervised-contrastive-learning-cifar10,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,keras-io__timeseries_transformer_classification,keras-io/timeseries_transformer_classification,https://huggingface.co/keras-io/timeseries_transformer_classification,Local cached model from previous hub collection.,TensorDetect/demo_models/keras-io__timeseries_transformer_classification,Tensorflow saved model,,none,none,,,,No issues detected
huggingface-local-cache,lambda_savedmodel,lambda_savedmodel,,Local cached model from previous hub collection.,TensorDetect/demo_models/lambda_savedmodel,Tensorflow saved model,1,high,lambda layer,,lambda,,"Lambda layer detected in h5 model, layer: {'name': 'lambda', 'trainable': True, 'expects_training_arg': True, 'dtype': 'float32', 'batch_input_shape': None, 'stateful': False, 'must_restore_from_config': False, 'preserve_input_structure_in_config': False, 'autocast': True, 'class_name': 'Lambda', 'config': {'name': 'lambda', 'trainable': True, 'dtype': 'float32', 'function': 'exploit', 'function_type': 'function', 'module': '__main__', 'output_shape': None, 'output_shape_type': 'raw', 'output_shape_module': None, 'arguments': {}}, 'shared_object_id': 12, 'build_input_shape': {'class_name': 'TensorShape', 'items': [None, 10]}}"
huggingface-local-cache,tensorabuse_savedmodel,tensorabuse_savedmodel,,Local cached model from previous hub collection.,TensorDetect/demo_models/tensorabuse_savedmodel,Tensorflow saved model,1,high,Tensor abuse,ImmutableConst,ImmutableConst,['memory_region_name']: /etc/passwd,"Tensorabuse op detected with malicious behavior in saved model, op: {'name': 'ImmutableConst', 'op': 'ImmutableConst', 'info': {'name': 'ImmutableConst', 'op': 'ImmutableConst', 'attr': {'_output_shapes': {'list': {'shape': [{'dim': [{'size': '50'}]}]}}, 'memory_region_name': {'s': 'L2V0Yy9wYXNzd2Q='}, 'shape': {'shape': {'dim': [{'size': '50'}]}}, 'dtype': {'type': 'DT_INT8'}}}}; ['memory_region_name']: /etc/passwd"
huggingface-local-cache,tensorabuse_savedmodel,tensorabuse_savedmodel,,Local cached model from previous hub collection.,TensorDetect/demo_models/tensorabuse_savedmodel,Tensorflow saved model,2,mid,Tensor abuse,PrintV2,PrintV2,,"Tensorabuse op detected in saved model, op: {'name': 'PrintV2', 'op': 'PrintV2', 'info': {'name': 'PrintV2', 'op': 'PrintV2', 'input': ['StringFormat:output:0'], 'attr': {'_output_shapes': {'list': {}}}}};"
